job_url;job_name;job_company;job_technologies_stack;job_description;publication_date;workplace_location;has_been_updated;salary_lower_bound;salary_upper_bound;cutoff_date
https://www.tecnoempleo.com/tecnico-instalador-teleco-presencial/ericsson/rf-58431c2252fcb37f0845;;OFG;['ERICSSON'];Desde OFG, líder en gestión de proyectos para operadores de Telecomunicaciones y fabricantes, incorporamos para nuestro departamento de Instalaciones técnicos/as ...;03/08/2024;;;;;2024-08-04
https://www.tecnoempleo.com/consultores-programadores-alfresco-remoto/alfresco-java/rf-ee82172df27f832a1846;;Digital Talent Agency;['Alfresco', 'Java'];Buscamos 5 perfiles de CONSULTOR/A ALFRESCO con al menos 1-2 años de experiencia.- 1 perfil senior con más de 5 años de experiencia- 4 juniors con al menos 1-2 años ...;03/08/2024;remoto;;;;2024-08-04
https://www.tecnoempleo.com/junior-project-manager-pmp-hibrido/itil-pmp/rf-a3dd16406238b3f20b40;;CMV Consultores;['ITIL', 'PMP'];Asistente Jefe de Proyecto TIC. Funciones a desarrollar: - Apoyo al Project Manager en la gestión de proyectos de ámbito TIC. - Planificación, control y seguimiento de ...;03/08/2024;Híbrido;;36000;45000;2024-08-04
https://www.tecnoempleo.com/programador-senior-oracle-apex-remoto/oracle-forms-oracle-apex/rf-a86c1560723df37faa4c;;Krell Consulting & Training;['oracle forms', 'oracle apex'];Programador Senior Oracle ApexAsignación de duración indefinida100% teletrabajoSalario en la banda de 28-30.000€ brutos en función de la experiencia¿Eres un ...;03/08/2024;remoto;;27000;30000;2024-08-04
https://www.tecnoempleo.com/analista-programador-java-hibrido/java-rest-sql-springboot-postgresql-mave/rf-863d17fdd2b82310fb47;;CMV Consultores;['java', 'rest', 'sql'];¿Qué se requiere?Desde CMV Consultores buscamos incorporar un analista programador/a java con al menos 2 años de experiencia.¿Qué se necesita?Tener conocimientos en ...;03/08/2024;Híbrido;;;;2024-08-04
https://www.tecnoempleo.com/experto-en-redes-seguridad-hibrido/cisco/rf-558412eb02fe1374f848;;CMV Consultores;['cisco'];En CMV Consultores, tenemos un interesante proyecto para ti, en importante cliente.Seleccionamos a 1 experto/a en Redes y seguridad.Requisitos:Experiencia de al menos 5 a...;03/08/2024;Híbrido;;48000;54000;2024-08-04
https://www.tecnoempleo.com/desarrollador-java-microservicios-hibrido-remoto/java-springboot/rf-e22618efa2502351d641;;Grupo Digital;['java', 'springboot'];Desde Grupo Digital, buscamos un Desarrollador JAVA/MICROSERVICIOS para formar parte de nuestro equipo y colaborar con uno de nuestros clientes. Preferentemente con ...;03/08/2024;remoto;;;;2024-08-04
https://www.tecnoempleo.com/analista-funcional-java-con-catalan-remoto/java-spring-boot-junit-microser/rf-89ac1e994256c3f3c743;;Digital Talent Agency;['Java', 'Spring boot', 'JUnit'];Desde DTA estamos buscando un perfil de ANALISTA FUNCIONAL JAVA con al menos 4-5 años de experiencia relacionada.¿QUÉ NECESITAMOS DE TI?- NIVEL ALTO DE CATALÁN, tanto...;03/08/2024;remoto;;30000;45000;2024-08-04
https://www.tecnoempleo.com/content-manager-barcelona/marketing-seo/rf-2ab91dfd1246b306bc4e;;Page Personnel;['Marketing', 'SEO'];Perfil buscado (Hombre/Mujer)Editorial Leadership: Define and maintain the editorial line for all content across the company´s digital platforms (product pages, guides, ...;03/08/2024;;;;;2024-08-04
https://www.tecnoempleo.com/programadores-aps-fullstack-remoto/java-spring-angular/rf-8efa1ba9621dc3206145;;Digital Talent Agency;['Java', 'Spring', 'Angular'];Buscamos perfiles de DESARROLLADOR/A Y ANALISTA PROGRAMADOR/A FULLSTACK con al menos 3 años de experienciaPROGRAMADOR/A Ó AP SENIOR FULLSTACK:- Programador full-stack ...;03/08/2024;remoto;;30000;36000;2024-08-04
