job_url;job_name;job_company;job_technologies_stack;job_description;publication_date;workplace_location;has_been_updated;salary_lower_bound;salary_upper_bound;cutoff_date
https://www.tecnoempleo.com/ingeniero-secdevops-hibrido/linux-kubernetes/rf-50131ced62fb23123f48;Ingeniero/a SecDevOps;GMV;['Linux', 'Kubernetes'];¿Quieres conocer las ventajas de trabajar con herramientas DevOps? ¡Sigue leyendo! ¡Tu sitio está con nosotros!Queremos incorporar a un/a especialista inquieto e ...;07/09/2024;Híbrido;Actualizada;;;2024-09-07
https://www.tecnoempleo.com/ciam-product-lead-remoto/oauth-oidc-open-id-conect/rf-6bbb12de221ff3fd6742;CIAM Product Lead;Serem;['OAuth', 'OIDC', 'Open ID Conect'];En SEREM estamos comprometidos con diversos proyectos y queremos contar con los mejores profesionales del sector. Nos encontramos en búsqueda activa de un/a CIAM Product Lead...;07/09/2024;remoto;Actualizada;;;2024-09-07
https://www.tecnoempleo.com/data-engineer-spark-scala-remoto/spark-scala-hive-github/rf-090518b7623e039e3747;Data Engineer Spark Scala;Serem;['Spark', 'Scala', 'Hive'];¿Buscas nuevas oportunidades?En SEREM estamos comprometidos con diversos proyectos y queremos contar con los mejores profesionales del sector. Nos encontramos en búsqueda ...;07/09/2024;remoto;Actualizada;;;2024-09-07
https://www.tecnoempleo.com/devops-openshift-presencial/openshift-middleware/rf-c4a41d4ef2ccd35a0146;DevOps - Openshift;PANEL Sistemas Informáticos;['Openshift', 'middleware'];¿Quieres formar parte del #TeamPanel? Ampliamos nuestro equipo y nos gustaría contar contigo para formar parte de un proyecto en el que estamos trabajando integrados en ...;07/09/2024;;Actualizada;;;2024-09-07
https://www.tecnoempleo.com/desarrollador-ionic-hibrido/ionic-angular-html5-css3-javascript/rf-41e9116c7299537daa46;Desarrollador Ionic;ConsulSAP;['Ionic', 'Angular', 'HTML5'];ConsulSAP buscamos un Desarrollador IonicAl menos más de 3 años de experiencia práctica en la creación de aplicaciones móviles híbridas utilizando la última versión ...;07/09/2024;Híbrido;Actualizada;;;2024-09-07
https://www.tecnoempleo.com/tech-lead-net-con-ingles-hibrido/net-java-sql-javascript-oracle-git-html-c/rf-79631e66d2f6f3b5d846;Tech Lead .Net con inglés;PSS;['.net', 'java', 'sql'];Te apetece formar parte de una compañía en pleno crecimiento? ¿Y trabajar rodeado del mejor TALENTO en proyectos realmente innovadores? En PSS es posible y nos gustaría ...;07/09/2024;Híbrido;Actualizada;30000;39000;2024-09-07
https://www.tecnoempleo.com/profesional-calypso-ingles-hibrido/calypso-java-j2ee/rf-66ca1b882216e3be034f;Profesional Calypso +Inglés;ConsulSAP;['Calypso', 'java', 'J2EE'];ConsulSAP busca Profesional Calypso:- Integración de Calypso con aplicaciones/herramientas externas- Gestión de análisis y soluciones de incidentes- Conocimientos de ...;07/09/2024;Híbrido;Actualizada;;;2024-09-07
https://www.tecnoempleo.com/tecnico-instalacion-alarmas-presencial/electronica/rf-652b1109c2855351da47;Técnico/a Instalación de alarmas;Grupo Sermicro;['electronica'];¡Te invitamos a formar parte de nuestro equipo!Actualmente estamos buscando un/a Técnico/a de Instalación de alarmas para trabajar en un servicio para grandes empresas.Te...;07/09/2024;;Actualizada;;;2024-09-07
https://www.tecnoempleo.com/desarrollo-servicios-aso-apx-bbva-remoto/aso-apx-java-batch-ether/rf-9796106592d163a03646;Desarrollo de servicios ASO/APX - BBVA;PANEL Sistemas Informáticos;['aso', 'apx', 'java'];¿Quieres formar parte del #TeamPanel? Ampliamos nuestro equipo y nos gustaría contar contigo para formar parte de un proyecto en el que estamos trabajando integrados en ...;07/09/2024;remoto;Actualizada;;;2024-09-07
https://www.tecnoempleo.com/desarrollador-java-con-ingles-hibrido/java-sql-microservicios-kubernetes-d/rf-d0721f68e29133ec1a47;Desarrollador/a Java con inglés;Serem;['java', 'sql', 'microservicios'];En SEREM estamos comprometidos con diversos proyectos y queremos contar con los mejores profesionales del sector.Nos encontramos en búsqueda activa de un/a Programador/a ...;07/09/2024;Híbrido;Actualizada;;;2024-09-07
