Technology,Count
Jira,600
Oracle EBS,52
Microsoft Dynamics,344
jmeter,52
SAP Business One,3
mecánica,1
teststand,1
data services,3
banksphere,53
fgc,2
ERP,56
d2d,1
API SOAP,7
rdfs/owl,1
t sql,54
Robotic Process Automation,159
aspice,53
hook,5
kibana,52
wlan,1
helix bmc,1
SAP PP,5
doors,56
google suite,2
ADAS,2
canopen,1
implementacion,52
sistemas embebidos,2
Ubuntu,3
casb,52
illustrator,3
CiberSeguridad,732
srm,1
orcad,1
gtm,1
Adobe Photoshop,1
google marketing platform,1
Figma,7
ipam,1
npl,1
goldengate,5
Adobe,3
sistemas operativos,1
wimax,1
Liferay,58
kenshoo,1
power,1
catia,3
tsql,6
MySQL,335
Java,7462
oracle tuxedo,1
rman,6
onetrust,52
peoplesoft,52
rocky,1
nfs,2
Apache,2
coordination,1
Unity,53
mantis,52
simulink,6
creo,1
time,1
funnel,1
sparql,1
frontend,1
SEM,62
intune,4
airflow,3
rss,1
premiere,1
CloudOps,1
SAN/NAS,6
SEO,72
hellix,1
software,20
soc,2
Cloud,501
apple bussiness manager,1
electromecánicos,1
cucumber,56
smd,1
computer vision,54
gis,3
Terraform,167
C++,476
atlassian,53
basis,1
paas,1
business objects,1
ids,1
avaya,1
ecommerce,11
web api,6
ran,1
ngrx,1
Drupal,61
targetlink,1
amazon ads,1
ISO 22301,1
eplan,1
VBA,1
SaaS,3
experian,52
mailchimp,1
pegasus,52
mes,6
Unified Modeling Language,105
Magnolia,104
e commerce,4
Data Governance EDC,53
gestion energetica,52
neo4j,1
ibm mqseries,1
jboss,5
SAP BW/4HANA,1
SA FI,11
Active Directory,76
SAP ABAP,229
tag manager,52
Pandas,55
